127.0.0.1 - - [17/Jun/2016:19:26:58 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:01 +0800] "GET /homeworkSystem/jsp/user/login.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:06 +0800] "POST /homeworkSystem/jsp/user/login.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:07 +0800] "GET /homeworkSystem/jsp/teacher/showTeacherCourseList.action HTTP/1.1" 200 11256
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:14 +0800] "GET /homeworkSystem/jsp/teacher/logout.action HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:18 +0800] "GET /homeworkSystem/jsp/teacher/logout.action HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:18 +0800] "GET /homeworkSystem/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:18 +0800] "GET /homeworkSystem/image/title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:19 +0800] "GET /homeworkSystem/jsp/teacher/logout.action HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:19 +0800] "GET /homeworkSystem/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:19 +0800] "GET /homeworkSystem/image/title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:28 +0800] "GET /homeworkSystem/jsp/user/login.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:28 +0800] "GET /homeworkSystem/css/main.css HTTP/1.1" 200 18804
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:28 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:31 +0800] "POST /homeworkSystem/jsp/user/login.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2016:19:27:32 +0800] "GET /homeworkSystem/jsp/teacher/showTeacherCourseList.action HTTP/1.1" 200 11256
